ID,SiteID,ObservationTimeUTC,Value
402389,36081NY09285,2023-05-01 00:00:00.000,5.91
404902,36061NY10130,2023-05-01 00:00:00.000,11.11
407436,36061NY08552,2023-05-01 00:00:00.000,12.93
410211,36005NY12387,2023-05-01 00:00:00.000,12.19
412737,36061NY08454,2023-05-01 00:00:00.000,13.34
415496,36061NY09734,2023-05-01 00:00:00.000,13.87
418334,36005NY11790,2023-05-01 00:00:00.000,8.46
402390,36081NY09285,2023-05-01 01:00:00.000,5.25
404900,36061NY10130,2023-05-01 01:00:00.000,6.88
407437,36061NY08552,2023-05-01 01:00:00.000,9.36
410210,36005NY12387,2023-05-01 01:00:00.000,11.04
412741,36061NY08454,2023-05-01 01:00:00.000,9.66
415497,36061NY09734,2023-05-01 01:00:00.000,9.09
418335,36005NY11790,2023-05-01 01:00:00.000,6.93
402391,36081NY09285,2023-05-01 02:00:00.000,6.06
404899,36061NY10130,2023-05-01 02:00:00.000,8.96
407438,36061NY08552,2023-05-01 02:00:00.000,9.77
410209,36005NY12387,2023-05-01 02:00:00.000,7.53
412739,36061NY08454,2023-05-01 02:00:00.000,9.33
415495,36061NY09734,2023-05-01 02:00:00.000,8.68
418336,36005NY11790,2023-05-01 02:00:00.000,6.34
402392,36081NY09285,2023-05-01 03:00:00.000,4.58
404898,36061NY10130,2023-05-01 03:00:00.000,9.52
407439,36061NY08552,2023-05-01 03:00:00.000,9.76
410208,36005NY12387,2023-05-01 03:00:00.000,9.24
412740,36061NY08454,2023-05-01 03:00:00.000,9.23
415493,36061NY09734,2023-05-01 03:00:00.000,9.26
418339,36005NY11790,2023-05-01 03:00:00.000,8.33
402393,36081NY09285,2023-05-01 04:00:00.000,7.65
404897,36061NY10130,2023-05-01 04:00:00.000,8.38
407440,36061NY08552,2023-05-01 04:00:00.000,7.77
410207,36005NY12387,2023-05-01 04:00:00.000,13.84
412742,36061NY08454,2023-05-01 04:00:00.000,8.05
415492,36061NY09734,2023-05-01 04:00:00.000,9.39
418338,36005NY11790,2023-05-01 04:00:00.000,10.95
402394,36081NY09285,2023-05-01 05:00:00.000,6.35
404895,36061NY10130,2023-05-01 05:00:00.000,6.78
407441,36061NY08552,2023-05-01 05:00:00.000,6.48
410206,36005NY12387,2023-05-01 05:00:00.000,11.01
412743,36061NY08454,2023-05-01 05:00:00.000,6.31
415494,36061NY09734,2023-05-01 05:00:00.000,6.76
418337,36005NY11790,2023-05-01 05:00:00.000,10.09
402395,36081NY09285,2023-05-01 06:00:00.000,3.21
404896,36061NY10130,2023-05-01 06:00:00.000,3.21
407443,36061NY08552,2023-05-01 06:00:00.000,4.43
410205,36005NY12387,2023-05-01 06:00:00.000,4.03
412744,36061NY08454,2023-05-01 06:00:00.000,4.01
415490,36061NY09734,2023-05-01 06:00:00.000,3.43
418341,36005NY11790,2023-05-01 06:00:00.000,3.73
402396,36081NY09285,2023-05-01 07:00:00.000,3.46
404894,36061NY10130,2023-05-01 07:00:00.000,3.21
407442,36061NY08552,2023-05-01 07:00:00.000,5.8
410204,36005NY12387,2023-05-01 07:00:00.000,5.28
412746,36061NY08454,2023-05-01 07:00:00.000,6.52
415491,36061NY09734,2023-05-01 07:00:00.000,3.21
418340,36005NY11790,2023-05-01 07:00:00.000,4.14
402397,36081NY09285,2023-05-01 08:00:00.000,3.95
404893,36061NY10130,2023-05-01 08:00:00.000,3.8
407444,36061NY08552,2023-05-01 08:00:00.000,4.5
410203,36005NY12387,2023-05-01 08:00:00.000,5.24
412745,36061NY08454,2023-05-01 08:00:00.000,4.23
415489,36061NY09734,2023-05-01 08:00:00.000,4.23
418342,36005NY11790,2023-05-01 08:00:00.000,3.69
402398,36081NY09285,2023-05-01 09:00:00.000,4.81
404892,36061NY10130,2023-05-01 09:00:00.000,4.69
407446,36061NY08552,2023-05-01 09:00:00.000,4.68
410202,36005NY12387,2023-05-01 09:00:00.000,5.18
412747,36061NY08454,2023-05-01 09:00:00.000,5.25
415487,36061NY09734,2023-05-01 09:00:00.000,5.11
418343,36005NY11790,2023-05-01 09:00:00.000,4.28
402399,36081NY09285,2023-05-01 10:00:00.000,5.37
404891,36061NY10130,2023-05-01 10:00:00.000,5.97
407445,36061NY08552,2023-05-01 10:00:00.000,5.57
410201,36005NY12387,2023-05-01 10:00:00.000,5.57
412748,36061NY08454,2023-05-01 10:00:00.000,6.71
415488,36061NY09734,2023-05-01 10:00:00.000,6.43
418344,36005NY11790,2023-05-01 10:00:00.000,5.07
402400,36081NY09285,2023-05-01 11:00:00.000,6.17
404890,36061NY10130,2023-05-01 11:00:00.000,7.82
407447,36061NY08552,2023-05-01 11:00:00.000,6.75
410200,36005NY12387,2023-05-01 11:00:00.000,6.61
412749,36061NY08454,2023-05-01 11:00:00.000,7.32
415484,36061NY09734,2023-05-01 11:00:00.000,7.21
418345,36005NY11790,2023-05-01 11:00:00.000,5.93
402401,36081NY09285,2023-05-01 12:00:00.000,5.56
404889,36061NY10130,2023-05-01 12:00:00.000,6.01
407448,36061NY08552,2023-05-01 12:00:00.000,6.79
410198,36005NY12387,2023-05-01 12:00:00.000,6.33
412750,36061NY08454,2023-05-01 12:00:00.000,7.15
415486,36061NY09734,2023-05-01 12:00:00.000,6.47
418346,36005NY11790,2023-05-01 12:00:00.000,6.75
402402,36081NY09285,2023-05-01 13:00:00.000,5.52
404888,36061NY10130,2023-05-01 13:00:00.000,5.68
407449,36061NY08552,2023-05-01 13:00:00.000,6.36
410199,36005NY12387,2023-05-01 13:00:00.000,6.83
412753,36061NY08454,2023-05-01 13:00:00.000,7.56
415485,36061NY09734,2023-05-01 13:00:00.000,7.17
418348,36005NY11790,2023-05-01 13:00:00.000,6.76
402403,36081NY09285,2023-05-01 14:00:00.000,5.44
404887,36061NY10130,2023-05-01 14:00:00.000,6.34
407450,36061NY08552,2023-05-01 14:00:00.000,6.19
410195,36005NY12387,2023-05-01 14:00:00.000,6.82
412752,36061NY08454,2023-05-01 14:00:00.000,7.84
415481,36061NY09734,2023-05-01 14:00:00.000,7.09
418349,36005NY11790,2023-05-01 14:00:00.000,6.78
